"X","GCLC","NADK","AASS","PRMT5","GSS","CDADC1","SMPD3","CPT1A","LDHB","ODC1","GALE","GOT2","ABCC4","PRMT1","DCTD","DMGDH","LDHA","SORD","GCSH","UCK2","SDHC","AASDHPPT","MAT1A","RPIA","CARNMT1","PANK4","NNMT","TK1","GLYCTK","MSRA","PIPOX","IDH2","PNP","DDO"
"ACH-000007",4.96809075204526,5.876516946565,0.0285691521967709,6.72437742160622,6.06134418828839,3.4235781709818,1.87578006306849,4.72683121703249,8.24488705912353,7.29333369530646,6.93899143877554,6.67454539384587,0.111031312388744,7.82190150738751,6.3328869169596,0.298658315564515,8.57886325635858,6.14649230697719,4.24564777363675,4.91934008244201,7.63720448190229,3.97544676564096,0.01435529297707,5.31686980506433,3.62760683812965,3.66902676550963,0.0426443374084937,6.34074028063018,4.63052196347164,3.18428029441938,0.263034405833794,7.94222124483597,6.36789520554199,0.137503523749935
"ACH-000013",4.19927972133662,5.82781902461732,0.604071323668861,5.56711948795167,5.37712374912949,2.98550043030489,0.422233000683048,3.78240856492737,10.1230867509811,7.47183776242229,3.61823865559546,5.61882595258744,2.35895882583233,8.12153351734003,6.0203688510632,1.33342373372519,8.93534187574829,5.04919510562227,5.01390884549064,5.0071955014042,6.71945727459875,3.8972404255748,2.58014548442338,4.61412086878925,1.93734439215023,4.23266075679027,0.773996325111173,7.74825995012392,2.03210084316702,0.0840642647884745,2.88362081628567,5.55949181320504,6.70445701932884,0.01435529297707
"ACH-000019",5.02945288578697,5.72601374886015,0.137503523749935,7.06748814148907,6.10580377191708,3.26002565596146,0.443606651475615,5.78004757606187,1.56071495447448,5.83541884047548,5.08236196955747,5.81531924577731,1.02856915219677,8.47321868174143,4.75862298244024,0.613531652917927,8.22501458261165,4.7273759385949,5.82119997805645,3.82781902461732,6.79597469420667,3.63575439127776,0.263034405833794,4.29719141656586,2.83794324189103,4.06436554026363,0.150559676575381,6.92837032301897,1.32192809488736,2.41953889151378,0.687060688339892,7.71856712361622,6.6055535954944,0.01435529297707
"ACH-000028",4.52418907844937,5.77267747042486,1.16349873228288,6.82705683650015,5.76871365703049,3.35049724708413,0.933572638261024,5.80271021929134,2.01792190799726,4.90592847817314,5.37747084284965,6.46205231879643,1.90689059560852,8.41810559707949,5.13010717865883,0.807354922057604,8.24312636898951,5.02192383855476,6.29664094468348,4.97452931248388,7.21519321658085,3.68369645430652,0.01435529297707,4.77505054148317,2.54349588342577,4.15704371014558,0.20163386116965,7.16932375323987,0.863938450423971,2.9126498648972,0.622930350920177,7.94468278230822,6.39163026151743,0
"ACH-000048",4.20711196120771,5.76208300356767,2.02147972741045,6.75808993420181,6.06307144984268,3.47897180503294,0.526068811667588,4.69265037003553,10.5546847723612,6.64371191305668,4.38750040648098,6.77267747042486,3.5909612413426,8.56761389372254,6.17192735435346,0.0840642647884745,8.37277801706204,5.65906827484323,6.48590979153593,6.19100984858729,7.39497708552647,4.79649392942584,0.0976107966264223,6.03979640762002,3.52356195605701,4.26528685756517,0.344828496997441,6.42693561964834,1.97085365434048,2.59931779369823,0.765534746362977,6.16892278185294,6.69125497865014,0.01435529297707
"ACH-000091",5.45680614923047,4.62643913669732,2.74200621086674,5.81070015418722,4.59514556799086,4.44625622988956,0.823749360308273,3.27351588970212,9.85466583086118,3.53106949272595,5.3526172989585,6.05853297020161,4.75702324650746,7.24298351610969,5.9047249283904,0.475084882948783,10.0620461377205,4.2637856138908,4.84899843040002,4.94392132655349,6.69083609791913,3.74416109557041,0.22650852980868,4.34766565630097,2.95233356636969,4.15461561132689,8.85832297281393,4.89190518821193,1.23266075679027,1.22032995487956,0.773996325111173,5.4666271200415,6.49649430685371,0.505890929729957
"ACH-000097",4.03650333373899,5.54287709935414,1.29865831556452,5.73308313184512,5.48123434952853,3.07553263116736,3.32624970083746,5.8877689486479,4.47961860846942,3.50589092972996,6.161686174584,5.91862475557459,0.356143810225275,7.56605403817109,5.39951292418296,1.88752527074159,8.31560245663795,6.55596949459953,6.04154964501142,5.56224242422107,8.00123928362232,4.89965902637744,0,3.98550043030489,3.53977919169849,3.64038956005495,1.36176835941915,6.55336050333533,2.01077983875324,2.79493566280354,0,7.73057203082246,6.94345253855882,0
"ACH-000117",5.24982454861618,5.56498780095989,0.443606651475615,6.48074981718447,4.24792751344359,3.20320115631661,0.748461233004036,5.29939120612683,2.83390207666916,6.11644793551166,5.47411151394241,6.80128801677891,2.78659636189081,7.98208090976374,4.82374936030827,0.333423733725192,8.16279411930629,5.76526952069059,4.91121220155861,4.84949893172018,7.70238050161552,4.25398926623079,0.475084882948783,3.63343121035563,3.44757919654888,4.27276973243651,0.298658315564515,7.65506555119503,1.790772037862,2.25701061820602,0.124328135002202,7.25058266478754,6.09465834265454,1.99276843076892
"ACH-000123",3.04439411935845,5.89093302170554,3.42894634476948,6.4749227003798,6.20652601587743,2.73768676140986,0.641546029087524,4.83693401132109,10.0202855008446,6.69237139970866,5.04701481951759,6.57334422759282,3.93828579188405,8.08486152476468,5.87725345387661,0.516015147003665,8.83743871485637,4.68818035858693,6.22997238511225,5.22110372536788,7.09191135749191,5.92291140625819,0.263034405833794,4.94485844580754,3.60644222813161,4.2349610948395,1.81147103052984,6.31632679205715,2.6667565918848,1.94485844580754,0.622930350920177,6.64241277290506,6.04483123344781,0.01435529297707
"ACH-000132",3.37712374912949,5.34978987024187,0.495695162624069,5.04395687279021,5.36211916672566,3.17312743348066,0.443606651475615,2.90881290773955,9.64333311800992,5.9898202201176,5.14934066928622,5.66817586897014,2.29572302453997,7.60917873814198,5.63255905211795,1.43295940727611,9.65293457860686,3.5033487351675,5.56985560833095,4.90496571868403,7.4966540825935,5.18388345903223,0.0565835283663675,3.94673086014031,3.17791779219584,3.5668151540109,5.67919857056692,7.21149898197779,1.38404980679516,2.93734439215023,0.545968369105293,4.77399632511117,4.40258575823259,0.963474123974886
"ACH-000147",4.27426166125705,5.59126052462153,0.910732661902913,5.99909803370561,6.64284594962078,3.77188557851537,1.20163386116965,5.88655014732434,1.70043971814109,4.09423606984577,5.79882817809111,6.16671544496642,0.0426443374084937,6.98322165074267,5.08363887925071,0.53605290024021,8.29218356925431,5.37573453858316,5.22303633790187,4.79856900355688,8.15608307628868,4.83642913116165,0.137503523749935,3.36457243229586,3.30451104180995,3.76659516172927,0.0565835283663675,7.98788928130278,3.01792190799726,2.83390207666916,0.53605290024021,8.06037169412222,5.86567141764843,0.839959587489532
"ACH-000192",3.78868571061353,4.15946772926677,3.61588707391606,6.5274770060604,6.26978123827438,2.20476675065461,1.51601514700366,3.60050764534579,9.41502341039129,7.18130136492636,4.61706334388818,5.74469931420784,2.31324585178756,8.23155721030281,4.8569856897822,0.985500430304885,7.13298804262744,4.58135124716878,4.88117515534928,4.95930648975966,7.35579154675365,4.35191096110308,1.66902676550963,3.86987140617771,2.70708299177171,3.24792751344359,0.356143810225275,5.83844759254846,2.09423606984577,2.43562859405209,2.39506279951758,5.76924279514054,5.52606881166759,2.85199883711245
"ACH-000212",4.26528685756517,5.14526985665051,3.22958792274065,6.32084566764572,6.29792505250381,3.30597052098439,0.475084882948783,4.0574502721839,10.6778077155729,6.1622906135458,6.40650265681287,6.27444804392521,3.01435529297707,9.8494520170968,6.55550942708326,0.748461233004036,9.89730094003721,4.71314590249026,5.51412226017071,4.81198471935167,7.21635785441676,5.29425313644451,0.01435529297707,4.65420637794429,3.47508488294878,3.61235249875266,0.748461233004036,7.67044381212281,2.27202318906105,3.36317107711924,0.137503523749935,4.71479501111816,5.90231481249263,0.111031312388744
"ACH-000223",4.3743439890385,5.68594014844598,0.137503523749935,7.15076274435542,6.43028527297778,3.4594316186373,2.19534759832222,4.92931759491176,9.68297703254036,6.04701481951759,5.57924050057297,7.40096480032711,1.58496250072116,7.80329162556219,6.61323695471633,1.27500704749987,8.89293739783468,5.01167453338092,7.12691092605489,5.52356195605701,8.09571348425126,4.7457751494858,0.333423733725192,3.98367769469807,3.53231695933277,3.93451650158608,4.81557542886257,8.23102912865541,1.59931779369823,2.27798474729977,1.18903382439002,6.46025109894385,6.46499492726543,1.0071955014042
"ACH-000237",5.57258654938577,5.44261180368934,2.75060650483559,7.26575567602733,6.6284819943839,2.78450398292957,0.422233000683048,3.77610398807316,9.50273237300148,5.5765221379205,6.17052599917685,6.31994302415705,2.91647664443772,7.54797414832058,5.64183500155537,3.41142624572647,10.0438475404389,5.14649230697719,5.13422093976063,5.12391445900198,6.95895864285239,6.03562390973072,0.0565835283663675,4.51285895444998,3.47638168756724,4.19849415363908,7.02469644009399,6.35790383855249,1.83995958748953,2.85996954822103,1.34482849699744,6.71163256182322,6.19652836093694,1.43829285157915
"ACH-000252",5.30048984436311,5.59365255839793,0.790772037862,6.54457811733884,6.34908214639109,3.50462039240355,1.96716860753263,4.87135084063403,10.7199876803385,7.61360531806338,6.9386386584728,6.62775273437702,2.17632277264046,8.32395545963164,6.58059776355584,1.26903314645524,9.39718259966962,6.87208998933479,5.30414594120295,4.9136075118231,7.15997222101611,4.65133876610593,3.34056226902641,4.41616416473313,3.4944156103975,3.27947129564447,0.286881147788161,6.34198574722862,5.83617662480922,2.97452931248388,0.516015147003665,6.96935773910922,6.41023933077602,1.86789646399265
"ACH-000255",4.39780296186249,6.0948694327187,2.63226821549951,7.23314029644597,6.36929198168004,3.36176835941915,0.22650852980868,0.879705766282288,10.1897010351811,7.62227150248209,7.25001411501037,7.14200491598488,3.33199177823206,7.89730094003721,7.12773644358883,0.189033824390017,11.1875995125358,4.76128527336162,5.30305008468167,6.17552460108987,7.27565894469885,4.74899785009815,0.20163386116965,5.10936055940423,2.92409988564074,4.58195375084882,6.93899143877554,8.16551001804135,2.05311133645956,0.111031312388744,0.137503523749935,5.35579154675365,5.77109325169954,1.35049724708413
"ACH-000276",4.23725777090037,6.00562454919388,1.34482849699744,5.89772447021644,5.82068956055921,4.61470984411521,0.432959407276106,5.55274593674845,8.46315650044211,6.28355142317431,4.66562016406638,6.11186596386756,2.18586654531133,8.1461358659523,7.69780161473751,0.495695162624069,9.15152399406487,5.08958289312471,5.45844762743792,4.84398384404833,8.00837259399077,4.77188557851537,0.263034405833794,4.60407132366886,2.56315813040281,3.76765479823735,0.879705766282288,8.1480697738034,1.57046293102604,3.38128337250378,0.464668267003444,8.10533236285565,6.51617277552509,0.84799690655495
"ACH-000277",4.21179097625254,5.66533591718518,0.0840642647884745,5.82400405093315,7.25568955522063,2.90496571868403,1.74416109557041,4.65878273401283,1.93357263826102,3.39643353125099,5.02281165091563,6.49153246180432,0.150559676575381,7.63088594032371,4.90929308582382,0.704871964456353,8.75532158119493,5.16791986555194,4.86542397831313,4.04526821513853,7.73897044828018,3.92789645372882,0.01435529297707,3.70818723602071,3.58255600301406,3.95977015521147,0.0976107966264223,6.68439798363757,2.65535182861255,0.176322772640463,1.06350294230616,7.50803242747625,6.03099811817189,0.238786859587116
"ACH-000278",4.49505552836802,5.44989147301094,1.67807190511264,5.5894638929561,5.25550073314839,2.93357263826102,0.286881147788161,4.49505552836802,9.84979602224561,7.16641418264516,6.78437310843037,5.19100984858729,2.1243281350022,7.10758326176324,7.18477618520242,0.910732661902913,8.83983364841731,5.15663931069209,4.48735771531155,5.69432306012539,7.63335855063711,4.65363331138625,0.839959587489532,4.55642941544957,2.57531233068744,3.74416109557041,3.97727992349992,7.55918586578773,2.95977015521147,2.83995958748953,0.454175893185802,5.97407036702403,6.18923154864728,1.20163386116965
"ACH-000280",3.72574115650395,5.74281466986289,0.903038270112912,7.34598176596164,5.0457050645108,3.76128527336162,0.66902676550963,3.10433665981474,9.29666388520585,5.5341861390901,6.28447711781042,6.49489557548345,1.0071955014042,8.03077747199254,5.01122725542325,0.389566811762726,10.6902599382587,5.49089097889429,5.9500017490835,5.53356334821451,7.45294130797121,4.83238371654913,0.0426443374084937,4.32912359629157,2.58976348698498,4.60703434594862,8.3264294871223,7.96289600533726,2.79285535236249,2.20476675065461,0.189033824390017,5.42727093517358,6.95396359887078,0.0840642647884745
"ACH-000288",4.18903382439002,6.03913839390696,0.7311832415722,6.5512083739461,5.97911075501579,3.5933537709803,0.464668267003444,4.79129314859221,9.60997283308798,7.35720008486005,5.11644793551166,6.74752167254042,4.04264433740849,7.49625461006128,5.78267065867701,1.15704371014558,9.69691537968799,4.43562859405209,6.0518071070133,5.64558638591361,6.85847839042327,5.36981542428391,0,3.85598969730848,3.12101540096137,4.762880292917,8.87832685350801,6.70653055253812,3.3305584000308,3.94204525991605,0.333423733725192,5.66647256884207,5.39025495632187,0.01435529297707
"ACH-000296",4.88459792099006,6.06501215043695,0.485426827170242,6.77307325343888,5.29939120612683,4.38059093426592,1.13093086982645,2.51853513898218,9.85034313416734,6.41599522099608,5.66277517193778,5.37747084284965,1.71808758396052,7.43387749735076,4.91552090075196,0.443606651475615,8.47763685642312,5.01569380710515,5.67355642399014,5.00045077177086,7.37094889882513,4.81608765860021,0.150559676575381,4.86690797814317,3.21878116778407,3.67355642399014,6.34002810238993,5.90857275875175,3.1906148602095,1.59454854955035,0.963474123974886,6.90881290773955,6.65863994240179,0.01435529297707
"ACH-000302",3.9136075118231,5.51506901403224,1.15055967657538,5.71424551766612,5.57742882803575,2.47508488294878,0.111031312388744,2.84599177066457,9.12150761593982,5.39437694495706,4.45811948117451,4.96532254836725,2.92409988564074,7.71829312047387,4.86492897228979,0.321928094887362,9.35704609296771,3.78450398292957,5.35226417325832,5.17751920259781,7.06641214573448,4.71094415457587,0.298658315564515,4.22650852980868,2.43562859405209,3.74846123300403,6.34411833452143,5.50080205305716,1.35614381022528,0.613531652917927,0.910732661902913,5.65535182861255,5.36597242759338,0.176322772640463
"ACH-000308",5.53543091487128,6.13442632022093,0.432959407276106,6.44691786486603,6.00876474486344,2.54101915313356,1.55581615506164,4.91121220155861,9.05278538961759,7.31659832410868,5.78920757534734,6.19436289072759,3.17951105027151,6.91814767387683,5.76208300356767,3.03562390973072,7.62453960378183,4.28835856219366,6.25455625190949,5.86913111964429,6.77360079528254,7.1101961777542,0.422233000683048,5.07553263116736,3.0703893278914,3.68929916053589,10.5869335882311,4.96716860753263,1.72683121703249,2.50842865253186,0.7311832415722,3.17312743348066,6.14486214291573,0.189033824390017
"ACH-000324",4.27202318906105,4.93357263826102,1.98913900736823,7.05799172275918,6.27798474729977,2.9560566524124,0.344828496997441,2.99457972421575,10.3325960577892,6.39951292418296,7.05311133645956,6.72642254084614,5.03518399661834,8.09771612974375,6.19396881942197,0.333423733725192,9.58998814168542,4.31903981556254,5.58345891013077,6.48767927890162,7.54905302933729,5.34340782229781,1.4541758931858,4.88752527074159,3.72246602447109,3.35049724708413,8.42441826594578,7.31333656165215,2.91838623444635,2.80529245560071,0.22650852980868,4.86046625851717,6.78633498041697,0.356143810225275
"ACH-000344",4.52293456094346,5.84398384404833,0.137503523749935,6.33771109212829,5.52262076104208,2.9429835981871,1.71369581484336,5.47476049957678,1.89917563048051,6.90038381666693,6.50541460934675,7.02292258905563,1.48542682717024,8.68723569410704,5.84247606299394,0.070389327891398,10.0029556223067,4.74416109557041,6.27891401949994,4.85798099512757,7.11342963507908,4.21256933885081,0.0976107966264223,4.03913839390696,2.40053792958373,3.71699089440494,8.31424334674856,7.49265437101891,2.33628338786443,2.53605290024021,0.0976107966264223,6.34287470840092,6.74685018309805,0.01435529297707
"ACH-000351",4.5668151540109,5.84172158112846,3.20163386116965,5.97544676564096,6.16269343221124,3.78031009904338,0.31034012061215,4.55826763405574,8.77478705960117,7.07681559705083,6.32264926213102,6.29517199198853,3.43962313755712,7.49393548558052,6.72150937542489,1,9.99180525537646,4.84498815668261,5.33234990037387,5.16430358309365,7.64789009105921,4.8569856897822,0.790772037862,4.52669484554198,3.63923216324928,4.10097764772482,8.06630450200819,5.85972112892796,2.20163386116965,2.78240856492737,1.60407132366886,3.4867143730307,5.22843392051337,2.02856915219677
"ACH-000352",5.28206907519813,5.97131362406888,0.238786859587116,6.36894291440495,4.77135740899056,2.91456452349394,2.10768786931437,4.82527683005487,7.7105998277309,4.82222027162153,5.14282184411593,6.28206907519813,0.0976107966264223,7.75234719236697,2.97269265400426,0.6959938131099,9.1846026428164,4.91408609701272,6.28021399581062,5.54163873443614,7.85735900975864,4.51096191927738,1.32192809488736,5.28429202639431,2.64846544302731,4.27649666564036,0.321928094887362,8.45795538004928,0.831877241191673,0.111031312388744,0.20163386116965,6.27052894238072,6.19377174339668,0.124328135002202
"ACH-000356",6.1108225740478,5.8974824681961,1.28095631383106,7.25086685567605,6.33234990037387,4.12598165385472,1.20789285164133,6.41464295841001,10.8917077699021,6.656782364219,6.25058266478754,7.36264521779471,3.40053792958373,8.38214845320422,6.81608765860021,0.189033824390017,9.17729494754563,6.35102755219611,5.35895882583233,5.68957872550933,7.42298981330018,4.4093909361377,0.545968369105293,5.47702965301306,2.78450398292957,4.35402893805439,3.80529245560071,6.49936756634913,4.74899785009815,2.8073549220576,0.286881147788161,5.35860724911781,7.15593133876956,0.01435529297707
"ACH-000374",5.1407786557828,6.51191074867093,0.176322772640463,7.19800295652124,6.47735352663456,1.92219784839637,1.09085343045111,4.51412226017071,8.33024465862235,6.17612327114794,5.54039930563062,6.0036022366802,2.77188557851537,8.04946740985307,5.7679195858018,0.0285691521967709,9.04742387422585,5.45549162062847,5.73741636593706,5.5453506448223,7.11311703639072,4.10685079645022,0.20163386116965,4.13504228623365,3.16188768237689,4.78868571061353,1.6915341649192,8.62705959576035,0.831877241191673,2.18903382439002,0.250961573533219,7.36282052553426,6.65935375917005,0.0840642647884745
"ACH-000397",3.74092756031863,5.13627342985058,0.422233000683048,7.26397335480341,6.26322224452176,2.3305584000308,0.53605290024021,4.07210580048042,10.2591547688668,5.69543711040537,6.9953714505722,6.39145842004967,4.29572302453997,7.96613048992893,5.98208090976374,1.0496307677246,9.16864704936463,5.19140472885276,5.81018600769536,4.40053792958373,7.3387809438947,4.92647391125607,2.37851162325373,5.06608919045777,2.33628338786443,3.82984955984469,5.04220656012069,7.3327079336406,3.94579495674006,1.18269229751619,0.464668267003444,6.78868571061353,7.26978123827438,2.39231742277876
"ACH-000403",4.83743871485637,5.41379715018921,1.79493566280354,6.37590826307501,6.60703434594862,3.6507645591169,0.823749360308273,3.22342254993494,9.54351521615217,6.98322165074267,5.95070169008901,6.83187724119167,4.78345665436024,7.82151889731431,5.81941272620656,0.948600847493356,10.0946055653122,5.58165253046128,6.09191135749191,5.73849764388979,7.25767069634337,4.94204525991605,0.0285691521967709,4.82374936030827,3.81864608282254,3.54225804976692,0.400537929583729,7.95495236367778,2.29572302453997,2.4931349223055,1,4.5453506448223,5.78633498041697,1.57531233068744
"ACH-000407",4.02059109477325,5.0686708106651,3.29572302453997,5.72027846523333,5.07167687375186,3.14241343787374,0.422233000683048,3.81455042346181,9.61542733284893,6.85872702377863,5.65764000520782,5.56407325573694,3.52481592835751,8.27914624405431,6.08129701413827,2.3533232911629,10.2727464088025,5.47378691161437,5.46499492726543,5.78868571061353,7.02081330425245,5.05398016818765,0.01435529297707,4.96809075204526,2.71149490665009,3.52481592835751,7.13452899948796,6.47297508612399,1.96716860753263,0.31034012061215,0.27500704749987,5.20750245925879,4.96670731415032,0.0840642647884745
"ACH-000409",3.22187708107703,5.29902480738432,1.65535182861255,6.04264433740849,6.76234881564413,2.37851162325373,0.27500704749987,4.7311832415722,9.6326499265387,6.32678899249194,4.99819550315325,5.60703434594862,5.20515788392009,7.52324829260521,5.58285703484424,0.250961573533219,9.40979398579922,4.25171909260596,4.95046841415012,5.0496307677246,7.58541327249201,4.70597790168252,0.20163386116965,3.90400231628369,2.26002565596146,4.34695688937888,3.68369645430652,7.36579750245938,2.35614381022528,1.61353165291793,0.895302621333307,5.970163424661,5.45549162062847,0.189033824390017
"ACH-000421",5.80426011563474,6.31849761886055,0.189033824390017,7.13216552547809,6.5677279633048,2.74846123300404,2.16349873228288,5.0639343057541,9.981995317818,7.16701664439148,7.28327359892062,6.69474092979982,3.38266725274504,7.70397276579215,6.83238371654913,0.985500430304885,8.31940116685832,6.28466218548316,6.18982455888002,5.268284666521,7.54990015592366,5.70901486490327,0.111031312388744,4.89965902637744,4.20633064787105,4.75595576955096,2.59454854955035,7.66085162575993,3.85598969730848,1.66902676550963,2.53605290024021,5.5894638929561,5.83516615722045,1.13093086982645
"ACH-000427",3.87479696589867,5.06608919045777,0.505890929729957,5.67299099382775,4.93640237772506,3.16510798514454,1.37851162325373,5.47378691161437,8.99661471481536,7.32219857485082,4.96947286459633,6.96855160336395,3.21723071622067,8.26940724085404,6.52356195605701,0.526068811667588,8.29420717830167,6.13278245729886,5.81403764753998,5.32876467228402,7.29590665529703,4.87085786436376,0.189033824390017,4.92837032301897,3.99095486039699,3.61706334388818,5.95373084981149,6.84498815668261,1.16992500144231,2.82578562746479,0.485426827170242,4.58556349845569,5.8094144442359,0.01435529297707
"ACH-000467",4.86294724802092,5.60139939053183,1.03562390973072,6.22322945684211,5.97131362406888,3.00539998774259,1.84398384404833,3.5837597536395,8.99963364420029,7.6518410098154,5.57167680997093,6.60984359159946,2.85798099512757,8.18363538147322,5.99954908734095,0.321928094887362,9.2919764491562,5.7273759385949,4.75221336786514,5.60733031374961,7.37816477987163,4.48413813120167,1.4276061727819,5.71342088486808,3.114367024952,3.46336088581666,0.111031312388744,6.06565847093199,5.58646452588639,2.31324585178756,1.80322703643493,7.172127436878,6.75047251876251,0.0426443374084937
"ACH-000524",3.27202318906105,6.19849415363908,0.124328135002202,6.18507363787676,6.40156220725607,2.52606881166759,0.189033824390017,2.9560566524124,8.41434698193482,6.48510476108097,5.56833618213375,5.10726939359254,3.1906148602095,7.09645162447759,5.48026512205446,0.238786859587116,7.3768633740274,4.16188768237689,5.09127669436522,4.71094415457587,7.48896481700485,5.52857131887076,0.0565835283663675,4.04701481951759,2.73768676140986,4.36737106564853,5.30487605004489,5.4937754084607,1.7311832415722,0.214124805352847,2.19219416528334,4.76977173924945,6.14180061165247,0.250961573533219
