"X","MDH1","L2HGDH","ITPA","PRMT1","SLC6A8","KYAT3","AASDHPPT","PANK4","ALDH7A1","TK1","MTHFR","PIPOX","INPP5J","DDO"
"ACH-000811",7.65219964830406,3.56437816856506,6.19002217480265,7.97825284202441,4.5957423394744,3.45154083301783,5.47346223623528,4.79597469420667,7.74725311426696,6.97533211589791,3.0071955014042,0.704871964456353,0.516015147003665,1.24488705912353
"ACH-000856",7.83143392935191,4.0686708106651,5.84373265661131,8.00781219348618,4.71204544855369,5.17831627170145,5.76526952069059,5.36036427654347,7.36387192485753,7.0759604132434,3.34482849699744,0.687060688339892,1.81147103052984,0
"ACH-000866",8.16380060395775,3.26903314645524,6.29167722317602,8.20735603487574,6.18982455888002,4.89336221076387,4.76765479823735,5.37016428054021,0.176322772640463,6.55274593674845,3.40053792958373,1.55090066464752,2.64616265715789,0.16349873228288
"ACH-000879",7.91396646559834,4.30305008468167,6.51254295509686,8.2728630232019,5.55182359572126,5.31179371775365,5.12763327972587,5.27537959625362,6.56742375770728,6.98538657677202,3.40735275114004,0.238786859587116,3.0036022366802,1.22650852980868
"ACH-000885",7.92142442890398,3.31179371775365,6.18050594379476,8.10653676886889,3.77082904603249,4.84297883178833,5.13791332208841,4.59931779369823,6.44956137461324,6.63081315229913,2.31324585178756,0.454175893185802,2.0071955014042,0.150559676575381
"ACH-000895",7.04777829451452,3.58255600301406,6.24830712008724,7.84260177161955,5.05354581772798,4.20554891117303,3.98367769469807,4.00539998774259,4.36527259976453,6.71053095249918,3.30451104180995,0.790772037862,2.75702324650746,0.632268215499513
"ACH-000897",7.33476490240121,3.67129337248158,6.96220195703608,8.60203071004446,5.71479501111816,3.69932952567316,4.88459792099006,4.82374936030827,5.52794609890826,6.61072958653471,3.18269229751619,0.443606651475615,0.37851162325373,2.07724299893246
"ACH-000909",7.73660487531425,3.38404980679516,6.46793154602629,8.30829351853698,7.15765009686171,4.73876783680019,5.4245862262511,4.20945336562895,6.81941272620656,7.02236781302845,2.8094144442359,0.27500704749987,0.400537929583729,0
"ACH-000911",8.1266012351573,2.96901230751632,5.52073652693764,8.07440909934374,4.05918219921169,4.07553263116736,5.01480160235136,3.67807190511264,5.45088131527337,7.75835648293992,1.42223300068305,0.01435529297707,0.411426245726465,0.31034012061215
"ACH-000919",7.46915337517158,4.36457243229586,6.91910167955939,7.86894598864236,3.8923910259134,3.71699089440494,4.5090623863619,3.94016675048282,5.38370429247405,6.14995030168105,3.51349074558812,5.84473714406068,2.83794324189103,2.41142624572647
"ACH-000925",7.21664886703315,4.25323293853803,6.21003812347289,8.51400387224109,6.01636259876089,3.94110631094643,4.90592847817314,4.68706068833989,6.06802583857736,6.8636907136601,2.53106949272595,0.20163386116965,3.21567859660793,1.94860084749336
"ACH-000936",7.74879664207743,3.84599177066457,6.41345868800798,7.58391015187168,5.79649392942584,3.99819550315325,4.98823022306046,3.96439863220318,6.29001884693262,6.87073459397099,2.6507645591169,1.10433665981474,2.88752527074159,0.250961573533219
"ACH-000939",7.82005128463813,3.85698568978221,6.38111029409905,8.69578507476896,3.59454854955035,4.28021399581062,5.30122180533309,4.5933537709803,6.9246937583865,8.0287901363499,2.67355642399014,0.20163386116965,2.82578562746479,0.0840642647884745
"ACH-000940",7.13247402436537,2.62527048937469,5.9957106289071,8.75815657600338,6.93168305705981,3.13093086982645,4.89384755813292,4.63052196347164,7.72410451986685,6.3037807481771,3.84699468696557,0.344828496997441,0.985500430304885,0.739848102699327
"ACH-000941",6.88740341635232,3.72027846523333,6.51522674595618,8.40594982676583,2.72246602447109,3.93545974780529,4.28243980500639,4.38266725274504,5.91695427895322,6.97762338143295,3.38404980679516,1.11103131238874,2.02147972741045,0
"ACH-000943",7.41531924814038,3.20006486151431,6.13996056954546,8.11914863981125,6.19927972133662,4.605257262939,4.74146698640115,4.55336050333533,4.81249822533356,5.21878116778407,0.879705766282288,0.111031312388744,1.21412480535285,0
"ACH-000946",7.46327913514142,3.4905701304462,5.90231481249263,8.05528243550119,2.01077983875324,3.79493566280354,4.68088692071969,4.61412086878925,5.51696065989882,7.61691636257881,1.28688114778816,0.344828496997441,1.50589092972996,0.0426443374084937
"ACH-000947",7.97762338143295,4.05571626351254,6.89554498925339,8.84846645742676,6.36071542539293,4.14241343787374,5.14323013477689,4.90110824301451,8.10580377191708,6.73998307907973,3.82578562746479,0.475084882948783,3.0036022366802,0.526068811667588
"ACH-000948",8.08952992977953,3.70487196445635,6.49904859773388,7.42374622911477,4.27872821293894,5.15987133677839,5.31179371775365,3.58135124716878,0.150559676575381,6.47557132129255,3.74308405554959,0.27500704749987,4.25474519762921,0.137503523749935
"ACH-000950",7,3.97085365434048,5.91336815967972,7.82228401601747,5.3501436020178,3.27052894238072,4.18507363787676,4.33771109212829,6.93026424523502,6.61999982982136,2.90303827011291,0.454175893185802,1.80322703643493,1.09761079662642
"ACH-000954",7.86987140617771,3.74953426766926,6.85835405767524,8.70687585184828,1.41142624572647,4.58315800387441,5.00270252037982,4.37851162325373,7.10349763970334,8.22978016673333,2.84599177066457,0.367371065648529,2.0071955014042,0.263034405833794
"ACH-000955",7.30432850305588,3.50207595604579,6.88533031547617,8.6322318567994,2.0703893278914,4.95233356636969,4.91169158187234,4.15218341905505,6.76990394498066,7.44484924726391,4.13175409098481,1.16349873228288,2.40053792958373,0.0426443374084937
"ACH-000956",8.14123862551119,4.19140472885276,6.94871764126317,8.34824127314377,5.51001246544851,4.0036022366802,5.28872767951457,4.35049724708413,4.97039353791468,7.34943605171382,2.84197311892718,0.739848102699327,5.22650852980868,0.22650852980868
"ACH-000957",7.22168378101097,3.78868571061353,6.70929063572336,8.32975149851718,3.42894634476948,4.53231695933277,4.38404980679516,4.32264926213102,4.75435307169213,7.01189812036949,2.78659636189081,0.0840642647884745,2.8094144442359,0.31034012061215
"ACH-000958",7.04756020002569,4.24564777363675,6.38111029409905,7.40394936423287,6.46188866443282,5.42660022616993,5.58766502110098,3.95233356636969,5.71342088486808,5.87332106291482,2.44095219802964,1.26903314645524,3.97177344719337,0.070389327891398
"ACH-000959",7.7062542535732,4.18982455888002,6.46090634820725,7.71568749184003,4.96116025813664,4.19219416528334,5.03957710306068,4.12267271882414,6.64990281989314,6.67086865483731,3.72574115650395,0.0565835283663675,2.6507645591169,0.0426443374084937
"ACH-000961",7.56208975000104,3.34340782229781,6.4154882710497,8.07953811722328,2.54349588342577,3.73552217729654,4.86245139132558,4.19219416528334,5.68957872550933,6.96647661213641,3.28983446517751,0.214124805352847,2.88557436437143,0.01435529297707
"ACH-000962",7.86449570265158,3.64731450954714,6.64544228212875,8.10737402390342,4.38750040648098,5.41379715018921,5.35614381022528,3.877744249949,6.23821364123342,6.4274385637151,2.83794324189103,0.871843648509318,1.87184364850932,0.0840642647884745
"ACH-000965",7.57281389463234,3.59215800212536,5.5478199565777,7.78476569631639,6.08640164588003,3.95884267524324,4.68088692071969,4.75862298244024,6.75675645130727,7.47053686509258,3.08236196955747,0.250961573533219,1.99276843076892,0.124328135002202
"ACH-000966",7.2349610948395,3.55581615506164,7.02081330425245,8.19244077560529,3.96254902292306,3.79493566280354,5.33628338786443,4.38335869538511,5.80193464627335,7.09138249094364,2.75060650483559,0.0976107966264223,2.30451104180995,0.0426443374084937
"ACH-000967",7.65985322084749,4.15946772926677,6.26509928751474,8.1766718338829,5.91408609701272,5.04919510562227,4.65821148275179,5.28651155766423,5.65162578392064,7.33037912758063,3.57773093149008,0.604071323668861,3.36176835941915,0.124328135002202
"ACH-000970",7.59410062353147,3.88459792099006,5.88362081628567,7.96081285795656,6.11894107272351,4.5197934862411,5.29057185085208,4.4154882710497,6.26753579806874,6.27891401949994,3.16510798514454,0.333423733725192,2.79493566280354,0.333423733725192
"ACH-000971",8.04297258321952,3.65420637794429,6.36859376265085,8.71414246433983,6.16972461321491,3.92789645372882,5.99909803370561,4.20867331962947,6.08894720461877,8.16138386011199,1.86789646399265,0.070389327891398,2.04264433740849,0.01435529297707
"ACH-000972",7.3077927961299,3.57167680997093,5.97819562968165,8.33413917883824,5.80426011563474,4.34482849699744,5.12267271882414,4.13010717865883,5.49761236561836,6.49920809085669,2.3533232911629,0.070389327891398,0.948600847493356,1.07724299893246
"ACH-000973",8.07301684657949,4.36176835941915,6.67398035122985,9.26526341264247,6.43145581668572,4.70873904135958,5.38577613826941,4.24336442569366,5.61941301059794,7.56262403909987,1.62760683812965,0.263034405833794,3.11270013274936,0.321928094887362
"ACH-000974",6.43729433149714,2.81966818349646,6.309067020588,8.30674526918095,3.53729606709084,3.86987140617771,5.05137210172103,3.65992455840238,5.0518071070133,4.62819033461521,2.67129337248158,0.632268215499513,2.32768736417605,0.01435529297707
"ACH-000977",6.55765515472542,3.72465027173297,5.51443791382931,7.86826697164548,7.06533534687803,3.25701061820602,4.65191274464578,5.00764403087801,0.594548549550354,6.77399632511117,3.79597469420667,1.53106949272595,3.92029330021101,2.59693514238723
"ACH-000978",7.69146437341683,4.04614178164472,6.13175409098481,8.98296506265287,6.50795316940504,4.21955576916691,4.89336221076387,3.79389588254888,6.77570903573939,5.79207446192887,4.18269229751619,2.35895882583233,3.70043971814109,0.0426443374084937
"ACH-000982",7.19643000095457,4.62527048937469,5.80271021929134,8.10768786931437,5.47638168756724,5.25058266478754,4.84498815668261,4.28762004411207,6.13934670028966,6.86888427302877,3.63110428236588,0.422233000683048,2.98732086592925,0.01435529297707
"ACH-000984",7.83187724119167,4.41142624572647,5.75675645130727,7.89742196134765,6.19593810042783,4.16027483140859,5.65334669272218,4.67694435910691,0.333423733725192,7.49769219381265,3.42088657497553,0.863938450423971,4.28762004411207,0.070389327891398
"ACH-000985",6.88545234508427,4.09845324630927,5.96069703930431,7.71087529578098,4.65133876610593,4.54843662469604,4.32048467801769,3.73443866613717,6.20847824221171,6.99830835035429,2.81352468929781,0.475084882948783,2.65535182861255,0.189033824390017
"ACH-000988",7.5978290978269,3.53480866123175,6.47654370621426,8.4258033540251,6.15137177625395,3.48284828306847,4.9174317553901,3.66562016406638,7.4797802640291,7.29627384670672,2.83794324189103,0.0565835283663675,2.57773093149008,0
"ACH-000990",7.01870093106446,3.47767732756531,5.82959589917751,7.84310449661493,6.62043978765172,3.41006969175638,4.60169651648096,4.20398416585599,6.46581125447608,6.53434179481026,4.09508049190141,1.26903314645524,3.06522762277562,0.0285691521967709
"ACH-000994",7.45787332248643,4.68313498512609,5.18903382439002,8.58803997108383,5.65477921695952,4.83794324189103,5.43229133824778,4.82781902461732,7.11561593142811,7.48107285682775,2.85199883711245,0.6959938131099,3.16671544496642,0.189033824390017
"ACH-000997",8.07515821777064,3.89141918684608,5.90038381666693,8.71383326018628,1.62293035092018,5.91552090075196,5.49920809085669,4.99095486039699,5.80322703643493,7.51167359981844,2.40053792958373,0.31034012061215,1.76128527336162,0.0285691521967709
"ACH-001145",8.39763185410674,4.14974711950468,6.54596836910529,8.27598478286909,4.99593670350459,5.48188013962029,5.95977015521147,3.81864608282254,6.38266725274504,7.17951105027151,2.47508488294878,0.31034012061215,2.20789285164133,0.0285691521967709
"ACH-001190",7.98703657423801,3.37295209791183,6.15663931069209,7.91856512898944,6.92100780045222,3.09761079662642,4.53915881110803,3.85199883711245,5.98276546258365,7.85486838326024,2.28983446517751,0.31034012061215,0.0976107966264223,2.99276843076892
